Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Response,TotalSpend,TotalPurchases,TotalCampaignsAccepted,EducationLevel,CustomerTenure,Age
Together,62499.0,1,0,0,2,4,0,0,222,10,0,4,4522,47
Single,74293.0,0,0,66,1,2,0,0,1127,15,0,3,4376,33
Married,51012.0,0,0,86,1,6,0,0,209,9,0,4,4757,80
Married,70777.0,0,1,80,3,3,0,0,787,20,0,4,4444,58
Together,68682.0,0,0,56,1,2,0,0,1598,23,0,4,4586,35
Married,43824.0,1,1,18,4,8,0,0,186,8,0,3,4972,55
Together,15345.0,1,0,51,2,8,0,1,47,4,0,3,4987,42
Single,23442.0,1,0,71,1,7,0,0,27,4,0,3,4872,39
Together,14515.0,1,0,71,4,7,0,1,96,7,0,2,4917,46
Divorced,31395.0,1,1,80,4,6,0,0,64,6,0,2,4783,70
Together,75276.0,0,0,2,1,5,0,0,1040,22,0,3,4960,61
Single,42373.0,1,1,83,5,5,0,0,163,8,0,3,4638,52
Together,30507.0,0,0,29,1,7,0,0,343,10,0,3,4795,66
Single,55521.0,1,2,11,9,7,0,1,446,15,1,4,4570,71
Married,48006.0,1,1,55,1,6,0,0,41,4,0,3,4340,61
Single,27213.0,1,0,19,3,8,0,1,70,6,0,4,4988,54
Divorced,65808.0,1,1,1,3,6,0,0,272,11,0,4,4350,55
Together,30351.0,1,0,19,1,9,0,0,46,5,0,4,4708,52
Married,50437.0,0,2,28,3,7,0,0,490,16,0,3,4940,63
Single,23616.0,1,0,76,2,8,0,1,79,6,0,2,4909,44
Married,53858.0,0,1,50,4,4,0,0,915,13,0,3,4917,50
Married,66465.0,0,1,1,3,6,0,0,1485,32,1,4,4776,71
Single,46923.0,1,0,90,3,7,0,0,369,13,0,3,4996,39
Together,75072.0,0,1,83,2,3,0,0,1073,17,0,3,4842,64
Married,75865.0,0,0,73,1,1,0,0,1242,18,0,4,4410,83
Together,19789.0,1,0,24,3,5,0,0,78,6,1,2,4541,51
Together,80134.0,0,0,11,1,5,0,0,1378,20,4,3,4455,32
Single,91065.0,0,0,33,1,3,0,1,1474,25,2,3,4812,45
Married,49505.0,1,1,4,9,8,0,0,751,20,0,4,4801,55
Married,37401.0,1,0,14,2,7,0,0,48,5,0,4,4374,53
Married,30096.0,1,0,30,1,6,0,0,45,5,0,3,4358,43
Together,18492.0,1,0,75,1,8,0,0,10,3,0,4,4344,44
Married,82584.0,0,0,26,1,1,0,1,1435,15,2,4,4710,52
Married,93027.0,0,0,77,0,2,0,0,2119,22,1,4,4762,85
Married,48686.0,1,2,8,1,8,0,0,20,3,0,3,4527,73
Married,92910.0,0,0,42,1,1,0,0,1795,26,3,3,4386,40
Married,75433.0,1,0,28,2,6,0,0,1188,17,2,3,4405,37
Together,10404.0,1,0,52,2,5,0,0,43,5,0,2,4376,37
Married,61314.0,0,1,1,2,3,0,0,1008,22,0,3,4750,58
Single,84865.0,0,0,1,1,4,0,1,1688,15,4,4,4736,65
Married,42387.0,1,0,42,5,8,0,0,684,16,0,3,4928,37
Together,67309.0,1,1,76,15,7,0,0,1082,24,0,2,4842,59
Married,75236.0,0,1,27,1,4,0,0,1068,24,0,3,4536,62
Single,30015.0,1,0,28,2,5,0,0,57,5,0,3,4467,56
Together,50943.0,0,1,49,1,5,0,0,46,4,0,4,4693,70
Divorced,67272.0,0,1,12,3,5,0,0,733,20,0,3,4510,60
Widow,51529.0,0,1,14,2,8,0,0,467,15,0,4,4615,77
Married,32011.0,1,0,89,3,7,0,0,122,7,0,4,4631,55
Married,7500.0,1,0,96,2,8,0,0,36,5,0,2,4827,40
Married,28691.0,1,0,56,1,8,0,0,34,4,0,3,4680,37
Married,56223.0,0,1,72,2,4,0,0,156,8,0,4,4511,78
Married,18100.0,0,0,14,1,5,0,0,14,3,0,3,4647,80
Single,30279.0,1,0,13,1,8,0,0,37,4,0,3,4866,37
Married,20130.0,0,0,99,1,8,0,0,34,4,0,2,4424,52
Divorced,23295.0,0,0,72,1,8,0,0,20,3,0,3,4671,67
Divorced,42618.0,1,0,92,2,8,0,0,192,9,0,4,4583,54
Single,81246.0,0,0,87,1,1,0,0,1379,16,2,3,4502,62
Married,24027.0,1,0,7,2,8,0,0,48,5,0,3,4705,50
Married,55707.0,0,1,91,2,3,0,0,428,14,0,4,4509,73
Single,57959.0,0,1,71,5,3,0,0,868,22,0,3,4743,71
Married,56796.0,0,1,24,3,7,0,0,1001,24,0,3,4818,57
Single,36230.0,1,0,17,1,5,0,0,59,6,0,4,4575,55
Married,70829.0,1,1,87,2,3,0,0,431,14,0,2,4530,46
Married,65991.0,0,1,21,3,7,0,0,971,24,0,3,4980,50
Married,38988.0,1,2,90,7,8,0,0,348,12,0,3,4998,54
Single,89572.0,0,0,44,1,4,0,1,2059,23,2,2,4972,60
Married,42207.0,1,0,71,4,6,0,1,265,10,1,4,4774,42
Married,50300.0,0,1,52,2,2,0,0,270,11,0,3,4355,74
Together,66664.0,0,0,78,1,3,0,0,1289,18,0,2,4962,44
Married,60597.0,0,1,2,4,7,0,1,893,12,1,3,4499,62
Widow,70165.0,0,0,60,1,1,0,0,926,21,0,3,4600,77
Widow,50520.0,0,1,25,2,6,0,0,135,7,0,4,4472,68
Married,80124.0,0,0,47,1,1,0,0,1495,18,1,3,4323,63
Married,33183.0,1,0,46,2,7,0,0,120,7,0,3,4445,51
Single,66582.0,0,0,83,1,1,0,0,1288,19,0,4,4438,57
Together,75261.0,0,0,17,1,2,0,1,1743,16,2,4,4752,71
Widow,31880.0,1,0,13,1,8,0,0,15,3,0,3,4926,56
Married,53790.0,0,2,86,3,6,0,0,542,17,0,3,4435,75
Together,49269.0,1,0,92,3,7,0,0,890,22,0,4,5003,55
Married,61456.0,0,1,47,4,4,0,0,1388,29,0,3,4779,51
Married,37406.0,1,0,18,1,8,0,1,17,3,0,3,4582,46
Together,56937.0,1,0,81,7,6,0,1,906,23,1,4,5014,45
Married,38415.0,1,1,91,2,7,0,0,44,4,0,3,4863,48
Single,20518.0,1,0,58,1,5,0,0,25,4,0,3,4362,38
Married,62503.0,0,1,40,4,5,0,0,973,22,0,3,4816,70
Single,41644.0,1,1,67,2,3,0,0,31,4,0,4,4371,54
Married,55842.0,0,1,19,1,5,0,0,518,16,0,4,4357,49
Married,62010.0,0,1,93,4,5,0,0,530,15,0,4,4934,54
Married,41124.0,1,0,41,7,8,0,0,506,14,0,3,4926,49
Married,38961.0,1,0,60,1,7,0,0,70,5,0,4,4501,53
Divorced,37760.0,1,0,54,1,6,0,0,54,5,0,4,4642,54
Single,32233.0,1,0,26,2,9,0,1,296,10,1,3,4999,52
Married,43057.0,0,1,30,4,5,0,0,266,11,0,3,4562,51
Together,83151.0,0,0,93,1,3,0,0,747,18,0,4,4947,66
Divorced,78825.0,0,0,35,1,3,0,1,895,28,0,4,4973,62
Together,65104.0,0,1,4,2,7,0,0,1053,15,0,4,4547,50
Married,60093.0,0,1,92,2,6,0,0,735,19,0,3,4688,52
Married,14045.0,1,0,24,1,7,0,0,20,4,0,3,4474,57
Widow,28457.0,0,0,96,1,8,0,0,205,9,0,2,4929,74
Together,78952.0,0,1,11,2,6,0,0,2092,19,0,4,4963,68
Divorced,46310.0,1,0,99,2,8,0,0,309,12,0,3,4893,50
Together,76005.0,0,0,72,1,6,0,0,1722,21,1,3,4812,71
Single,58308.0,0,1,77,4,8,0,0,900,11,0,4,4853,62
Divorced,55614.0,0,0,85,1,7,0,0,682,19,1,4,4534,82
Divorced,59432.0,0,1,88,3,5,0,0,663,19,0,4,4762,64
Divorced,55563.0,0,1,22,1,3,0,0,43,5,0,3,4405,48
Together,78642.0,0,1,83,1,6,0,0,1816,17,0,4,4754,55
Together,67911.0,0,1,63,3,3,0,0,976,24,0,4,4358,77
Married,65275.0,0,0,9,1,2,0,0,746,20,0,3,4772,82
Together,27203.0,1,1,92,2,8,0,0,64,4,0,3,5012,76
Together,48330.0,0,1,2,1,5,0,0,32,4,0,4,4546,65
Married,24279.0,0,0,6,1,8,0,0,263,8,0,1,4867,36
Married,64355.0,1,0,66,2,8,0,0,1445,19,0,4,4994,41
Together,50943.0,0,1,49,1,5,0,0,46,4,0,4,4693,70
Widow,53653.0,0,0,29,2,6,0,0,1210,26,0,3,4919,73
Married,65665.0,0,1,77,1,3,0,0,945,23,0,3,4529,50
Single,81217.0,0,0,77,1,1,0,0,1157,21,0,3,4665,37
Married,34935.0,0,0,71,1,7,0,0,137,7,0,3,4693,34
Divorced,61250.0,0,1,49,6,5,0,0,730,19,0,3,4880,67
Together,39665.0,1,0,97,3,7,0,0,216,9,1,4,4720,45
Single,60152.0,0,1,6,1,3,0,0,943,22,0,3,4778,47
Married,48920.0,0,2,93,3,7,0,0,347,13,1,3,4572,62
Together,89120.0,0,0,78,1,1,0,0,1924,18,1,4,4424,67
Together,44124.0,0,1,62,4,8,0,0,397,13,0,4,4734,80
Single,81169.0,0,0,47,1,2,0,0,2089,21,0,4,4761,51
Married,36443.0,1,1,9,4,8,0,0,138,7,0,3,4831,65
Single,26095.0,1,0,77,1,7,0,0,42,4,0,3,4684,36
Together,71367.0,0,0,24,1,2,0,0,777,16,0,3,4630,67
Married,80184.0,0,0,19,1,3,0,0,1902,19,2,4,4440,82
Divorced,30630.0,1,1,67,2,7,0,0,52,5,0,3,4473,61
Single,73454.0,0,0,95,1,5,0,0,1651,12,1,4,4440,39
Married,42691.0,0,0,48,1,5,0,0,358,12,0,3,4637,35
Married,70503.0,0,0,73,1,6,0,0,1727,15,2,3,4957,73
Married,25545.0,1,0,35,3,6,0,1,210,7,0,3,4979,39
Married,32880.0,1,0,76,1,8,0,0,42,4,0,3,4892,40
Together,77863.0,0,0,20,1,2,0,0,1291,19,0,4,4534,68
Married,50353.0,0,0,72,1,3,0,0,442,14,0,4,4341,49
Single,61839.0,0,0,20,1,8,0,0,1895,16,0,3,5006,62
Married,49154.0,1,1,69,6,6,0,0,411,13,0,4,4558,66
Widow,47682.0,0,1,80,4,5,0,0,521,15,0,2,4819,51
Single,72679.0,0,1,65,1,1,0,0,1168,16,0,3,4604,57
Together,57954.0,1,1,52,7,7,0,0,493,16,1,4,4331,49
Married,65316.0,1,1,65,2,4,0,0,260,10,0,3,4751,64
Single,28567.0,1,0,57,2,6,0,0,46,5,0,3,4697,44
Together,47352.0,0,1,70,4,7,0,0,319,12,0,4,4764,75
Together,44931.0,0,1,0,1,5,0,0,96,6,0,3,4482,59
Divorced,76982.0,0,0,19,1,4,0,1,1062,15,1,3,4454,59
Together,57247.0,0,1,50,2,2,0,0,232,10,0,2,4645,74
Single,22944.0,1,0,67,3,7,0,0,76,6,0,4,4508,45
Together,25315.0,1,0,46,3,8,0,0,54,6,0,2,4554,49
Widow,43638.0,0,1,37,2,7,0,0,201,9,0,3,5012,57
Single,42710.0,1,0,38,2,6,0,0,406,12,0,4,4898,42
Married,84169.0,0,0,9,1,3,0,1,1919,19,2,4,4646,44
Together,54058.0,0,1,56,2,3,0,0,662,18,0,3,4710,50
Married,24683.0,1,0,98,2,5,0,0,41,6,0,2,4433,36
Widow,85620.0,0,0,68,1,1,0,1,1600,13,0,3,4493,62
Married,47850.0,1,0,72,1,6,0,0,134,7,0,3,4528,46
Married,19514.0,1,1,47,4,8,0,1,69,6,1,3,4474,58
Married,27159.0,1,1,33,2,6,0,0,21,4,0,4,4412,53
Single,39548.0,1,1,87,2,3,0,0,54,5,0,2,4410,63
Single,21474.0,1,0,0,2,7,0,1,91,6,1,3,4402,37
Single,60504.0,0,1,73,2,6,0,0,526,16,0,4,4462,55
Married,22419.0,0,0,74,1,8,0,0,162,7,0,3,4757,63
Married,81698.0,0,0,4,1,1,0,1,1008,24,0,4,4555,77
Together,43462.0,1,1,50,6,8,0,0,240,10,0,3,4975,74
Single,54880.0,1,0,57,2,5,0,0,795,19,0,4,4805,48
Married,79908.0,0,0,30,1,2,0,0,1772,18,1,3,4770,44
Married,15315.0,0,0,27,2,5,0,0,64,6,0,2,4650,56
Together,87771.0,0,1,61,1,6,0,1,1957,19,4,3,4723,67
Married,33039.0,1,0,4,1,5,0,0,78,6,0,3,4613,48
Single,81741.0,0,0,75,0,2,0,0,1572,19,0,3,4698,46
Together,71499.0,0,1,12,2,4,0,0,795,24,0,4,4689,55
Married,62466.0,0,1,13,5,4,0,0,889,21,0,2,4485,56
Divorced,48799.0,0,1,9,3,3,0,0,331,12,0,4,4556,63
Together,52157.0,0,1,48,2,4,0,0,265,10,0,4,4342,76
Single,66565.0,0,1,80,4,8,0,0,1065,15,0,3,4891,64
Together,29298.0,1,1,60,1,5,0,0,11,3,0,4,4615,75
Single,47691.0,0,1,43,1,6,0,0,21,3,0,3,4679,47
Together,38200.0,1,1,19,1,7,0,0,17,3,0,3,4889,56
Married,44989.0,0,1,26,5,6,0,0,369,11,0,3,4975,52
Married,38443.0,1,1,58,2,7,0,0,38,4,0,4,4473,58
Single,38593.0,1,0,42,3,8,0,0,177,8,0,2,4609,48
Together,64413.0,0,1,27,1,5,0,0,279,11,0,4,4652,56
Married,36959.0,1,0,56,2,8,0,0,62,5,0,4,4590,45
Married,61996.0,0,1,27,3,5,0,1,1230,18,3,4,4834,49
Married,51287.0,1,1,10,3,7,0,0,182,8,0,3,4409,58
Married,13260.0,1,1,48,4,8,0,0,49,6,0,3,4630,56
Together,47472.0,1,1,39,2,5,0,0,75,6,0,4,4606,60
Together,54603.0,1,1,85,6,7,0,0,227,10,0,4,4675,70
Married,45207.0,1,1,64,5,6,0,0,215,10,1,4,4916,52
Together,40689.0,0,1,69,7,8,0,0,444,13,0,3,4788,75
Together,47821.0,1,1,54,1,8,0,0,47,4,0,2,4572,59
Married,27450.0,0,0,57,1,7,0,0,143,6,0,4,4760,75
Together,39453.0,1,0,64,2,6,0,0,55,5,0,3,4407,43
Together,26850.0,1,1,10,4,4,0,0,63,7,0,2,4392,55
Widow,79800.0,0,0,65,1,3,0,1,1867,21,3,3,4964,71
Married,61794.0,0,1,74,2,2,0,0,611,18,0,4,4608,65
Together,53863.0,0,1,4,3,7,0,0,473,15,1,3,4363,71
Together,24221.0,0,0,94,1,4,0,0,55,5,0,3,4633,67
Single,39684.0,1,0,41,2,7,1,1,81,5,0,4,4945,42
Married,92163.0,0,0,25,0,2,0,1,2086,21,2,4,4884,51
Single,69882.0,0,0,94,1,1,0,0,1478,19,0,4,4551,61
Together,33178.0,1,0,9,1,4,0,0,49,4,0,3,4470,49
Married,59973.0,0,0,47,1,1,0,0,382,14,0,4,4611,54
Together,17459.0,1,0,12,3,7,0,1,69,6,0,4,4603,51
Divorced,23910.0,1,0,80,1,7,0,0,67,5,0,3,4931,57
Married,42169.0,1,1,20,2,8,0,0,30,4,0,4,4573,57
Married,26224.0,1,0,39,3,6,0,0,63,6,0,2,4710,48
Together,31089.0,1,0,57,3,8,0,0,79,7,0,3,5001,45
Single,30081.0,0,1,27,1,7,0,0,42,4,0,3,4813,65
Together,62807.0,0,1,83,3,5,0,0,819,20,0,3,4987,66
Single,72906.0,0,0,79,1,1,0,0,1151,16,0,3,4605,71
Married,61467.0,0,2,69,3,5,0,0,594,17,0,4,4887,78
Together,49618.0,1,1,77,4,7,0,0,129,7,0,4,4839,60
Single,21888.0,1,0,15,4,10,0,1,213,8,0,4,4867,40
Widow,42429.0,0,1,99,2,5,0,0,67,5,0,3,4458,53
Divorced,26150.0,2,1,61,1,7,0,0,28,4,0,3,4795,70
Married,30801.0,0,1,23,2,7,0,0,45,4,0,1,4931,51
Married,81168.0,0,0,84,1,3,0,0,1193,17,1,3,4373,61
Single,26877.0,0,0,74,2,6,0,0,268,10,0,4,4634,57
Widow,45006.0,0,0,90,1,3,0,0,266,11,0,4,4666,82
Married,18978.0,1,0,41,1,8,0,0,37,4,0,1,4885,53
Married,22574.0,2,1,28,2,7,0,0,37,5,0,3,4564,59
Single,48240.0,0,0,73,3,5,0,1,882,22,0,4,4917,57
Married,45837.0,1,1,88,5,7,0,0,373,13,0,3,4658,52
Single,35791.0,2,1,94,2,8,0,0,35,4,0,4,4739,61
Together,162397.0,1,1,31,0,1,0,0,107,1,0,4,4711,50
Widow,54162.0,1,1,31,1,4,0,0,42,4,0,3,4788,48
Married,30522.0,0,1,6,5,2,0,0,326,12,0,4,5001,66
Married,54456.0,0,1,23,3,6,0,0,404,14,0,4,4673,65
Single,31632.0,0,0,92,1,7,0,0,95,5,0,3,4670,55
Widow,72298.0,0,0,52,1,1,0,0,939,13,2,3,4431,77
Single,36975.0,1,0,50,1,7,0,0,33,4,0,2,4503,48
Married,72635.0,0,0,54,1,3,0,0,981,20,1,2,4711,71
Married,13624.0,1,0,93,2,6,0,0,36,5,0,3,4845,50
Single,84196.0,0,1,56,1,3,0,0,1237,19,0,3,4711,51
Together,70971.0,0,1,28,7,7,0,1,1825,27,0,3,4966,66
Divorced,34487.0,1,1,94,3,9,0,0,103,6,0,4,4981,49
Single,28769.0,1,0,76,3,9,0,0,191,9,0,3,4878,49
Married,69084.0,1,0,43,2,8,0,0,1586,23,0,4,4542,56
Together,65488.0,0,0,46,1,1,0,0,963,13,0,4,4336,68
Married,62466.0,0,1,13,5,4,0,0,889,21,0,2,4485,56
Single,32218.0,0,0,27,1,7,0,1,93,6,1,2,4454,66
Single,83917.0,0,0,12,1,3,0,1,1587,20,0,3,4757,53
Divorced,46102.0,2,1,3,1,7,0,0,16,3,0,3,4431,64
Single,84574.0,0,0,72,1,5,0,0,1375,31,0,3,4710,74
Married,56181.0,0,1,6,1,4,0,0,393,13,0,3,4857,64
Divorced,63120.0,0,1,53,5,7,0,1,1477,21,0,4,4959,76
Married,73691.0,0,1,58,2,2,0,0,1179,16,1,3,4555,55
Together,63381.0,0,1,78,4,2,0,0,1005,22,0,3,4952,66
Together,76140.0,0,0,57,1,2,0,0,1348,20,0,4,4367,78
Divorced,62859.0,0,1,37,4,6,0,0,1307,19,0,4,4866,67
Single,45906.0,0,1,20,2,5,0,0,486,13,1,3,4738,62
Together,77632.0,0,0,73,1,2,0,1,2252,12,2,4,4796,79
Married,46463.0,1,1,56,7,6,0,0,235,10,0,4,4635,55
Together,105471.0,0,0,36,0,3,0,1,1724,30,2,3,4844,56
Divorced,55282.0,1,0,9,1,4,0,0,235,10,0,4,4518,56
Married,78710.0,0,1,42,3,4,0,0,1092,25,0,4,4357,49
Together,66886.0,0,1,28,2,5,0,0,599,15,0,3,4606,68
Single,98777.0,0,0,23,0,1,0,0,2008,19,1,4,4452,66
Together,29103.0,1,0,38,2,9,0,0,48,4,0,3,4991,41
Married,67445.0,0,1,63,5,6,0,0,1174,27,0,3,5006,52
Together,50616.0,0,1,71,1,2,0,0,67,6,0,4,4397,76
Divorced,49431.0,0,1,9,2,8,0,0,365,13,0,3,5015,71
Divorced,153924.0,0,0,81,0,0,0,0,6,0,0,3,4462,51
Together,61278.0,0,1,87,2,6,0,0,165,8,0,3,4496,73
Together,26490.0,0,0,92,2,6,0,0,210,9,0,2,4965,68
Together,73059.0,0,1,36,1,4,0,0,1095,25,0,4,4622,79
Single,46734.0,1,2,86,4,6,0,0,223,8,1,4,4571,60
Together,56253.0,0,1,83,4,6,0,0,597,18,0,3,4889,63
Married,19986.0,1,0,74,1,7,0,0,22,3,0,3,4547,41
Widow,58330.0,0,1,87,1,4,0,0,1064,23,0,3,4506,51
Married,25965.0,0,0,29,1,8,0,0,74,5,0,1,4980,46
Together,14661.0,0,0,88,1,6,0,0,26,4,0,4,4864,70
Married,18690.0,0,0,77,1,8,0,0,60,4,0,3,4868,67
Together,45068.0,0,1,25,1,7,0,0,20,3,0,4,4729,52
Single,21063.0,1,0,34,2,6,0,0,59,5,0,1,4597,39
Married,29187.0,1,0,43,1,8,0,0,34,4,0,4,4736,58
Married,54690.0,1,1,76,3,3,0,0,198,9,0,2,4554,55
Married,59304.0,0,1,81,3,5,0,0,1048,25,0,4,4655,62
Single,59247.0,0,2,87,5,6,0,0,574,16,0,4,4553,64
Widow,66731.0,0,1,33,4,3,0,0,1029,13,0,3,4975,56
Married,77353.0,0,1,38,2,4,0,0,670,18,0,3,4515,46
Single,52614.0,0,1,63,2,8,0,0,990,14,0,4,4895,51
Married,26751.0,2,0,26,1,8,0,0,11,3,0,3,4358,52
Married,81300.0,0,1,17,3,5,0,1,1241,18,1,4,4927,63
Single,70337.0,0,0,75,1,1,0,0,576,16,0,3,4498,47
Married,36145.0,1,0,13,4,9,0,1,172,8,1,2,4698,41
Single,65295.0,0,0,19,1,2,0,0,664,19,0,4,4508,46
Divorced,68118.0,0,1,51,2,6,0,0,928,21,0,3,4574,63
Divorced,68743.0,0,0,81,1,7,0,0,2074,29,0,3,4988,59
Together,41039.0,0,0,32,1,8,0,0,467,14,0,2,4659,44
Together,38946.0,0,1,84,2,5,0,0,257,10,0,3,4568,71
Together,65777.0,0,0,87,1,1,0,0,1146,16,0,3,4512,59
Divorced,66476.0,0,1,99,2,4,0,0,689,18,0,4,4799,50
Single,86857.0,0,0,96,1,2,0,1,2114,21,0,4,4975,54
Married,160803.0,0,0,21,15,0,0,0,1717,29,0,4,5014,44
Together,77845.0,0,0,40,1,1,0,0,1346,20,2,4,4364,37
Together,69476.0,0,0,3,1,2,0,0,1044,14,0,4,4592,57
Divorced,50611.0,0,1,98,6,6,0,1,493,16,1,4,4953,66
Single,61209.0,0,0,73,1,2,0,0,957,12,0,3,4628,56
Together,42315.0,0,1,90,3,3,0,0,270,9,0,4,4672,68
Together,13084.0,0,0,29,1,6,0,0,29,4,0,1,4559,74
Widow,47570.0,1,1,3,3,7,0,1,121,6,0,4,4716,77
Married,61923.0,0,2,94,1,3,0,0,126,7,0,4,4658,65
Single,34824.0,0,0,65,1,6,0,0,23,3,0,3,4415,31
Single,26518.0,1,1,33,3,8,0,1,57,5,0,4,4767,77
Single,45938.0,0,0,46,2,6,0,0,636,18,0,3,4558,65
Together,78468.0,0,0,29,1,4,0,0,1004,27,1,3,4401,66
Divorced,78901.0,0,1,99,3,4,0,0,734,17,0,3,4605,53
Married,71427.0,2,0,26,2,4,0,0,614,18,0,3,4429,48
Divorced,71022.0,0,1,30,3,8,0,0,1453,18,1,3,4458,48
Single,90247.0,0,0,27,1,1,0,1,1621,14,3,4,4381,38
Divorced,41335.0,1,0,24,3,7,0,0,187,9,0,4,4505,58
Married,71952.0,1,0,93,2,4,0,0,1443,20,2,3,4855,40
Divorced,35682.0,1,0,34,1,2,0,0,57,5,0,4,4322,56
Divorced,43185.0,0,1,88,2,8,0,0,637,18,0,3,4765,75
Together,66375.0,0,1,96,3,7,0,0,948,11,1,4,4540,78
Married,35178.0,1,0,10,1,7,0,1,59,4,1,4,4855,55
Married,25252.0,1,0,26,1,8,0,0,18,3,0,3,4672,40
Single,55250.0,0,1,49,4,5,0,0,903,22,0,4,4936,61
Single,33249.0,1,0,11,2,6,0,0,112,6,0,3,4814,51
Together,58398.0,0,0,44,3,4,0,0,596,17,0,3,4731,73
Together,50272.0,1,0,75,3,7,0,0,233,10,0,3,4646,44
Married,76618.0,0,0,64,1,1,0,0,1511,10,0,4,4889,51
Divorced,87305.0,0,0,19,1,2,0,1,1152,16,1,2,4964,66
Together,25851.0,1,0,45,2,7,0,0,48,5,0,3,4823,48
Divorced,58710.0,0,1,77,6,6,0,0,1185,25,0,3,4775,56
Single,45160.0,1,1,9,1,7,0,0,21,3,0,3,4412,68
Married,74806.0,0,1,1,2,4,0,0,965,14,0,4,4877,61
Married,59111.0,0,0,90,1,7,0,0,869,20,0,3,4743,72
Married,18988.0,1,0,43,2,7,0,0,16,4,0,4,4357,42
Married,72190.0,0,0,79,1,3,0,0,1947,15,0,3,4821,61
Married,7500.0,1,0,19,5,9,0,1,71,7,1,3,5017,50
Married,44794.0,0,1,99,1,6,0,0,65,5,0,3,4341,60
Married,80395.0,0,0,62,1,2,0,0,1380,23,1,3,4538,71
Divorced,75012.0,0,0,41,1,1,0,0,1027,22,0,4,4475,50
Married,56962.0,2,1,60,7,7,0,0,411,14,0,4,4581,61
Together,89891.0,0,0,17,1,4,0,0,836,25,1,3,4760,35
Divorced,35946.0,1,1,24,1,5,0,0,11,3,0,4,4595,77
Together,53593.0,1,1,60,8,8,0,0,480,15,0,4,5011,73
Married,66373.0,1,1,57,7,3,0,0,606,16,0,3,4702,48
Divorced,45072.0,1,2,74,5,8,0,0,284,11,0,4,4576,78
Divorced,89694.0,1,1,22,3,5,0,0,1472,11,3,3,4583,53
Married,72025.0,0,0,46,1,2,0,1,1677,25,3,3,4381,77
Married,67432.0,0,1,69,2,4,0,0,1335,17,0,3,4777,53
Together,70545.0,0,1,29,1,2,0,0,334,12,0,4,4346,74
Married,17487.0,1,0,37,1,7,0,0,18,3,0,1,4788,37
Together,62882.0,0,1,26,2,4,0,0,1338,18,0,3,5009,57
Single,64108.0,0,1,8,4,5,0,0,1099,26,0,4,4783,73
Together,34941.0,1,1,26,2,8,0,0,97,6,0,4,4800,70
Single,48767.0,1,2,79,3,5,0,0,63,6,0,4,4499,76
Together,38702.0,1,0,71,2,6,0,0,109,7,0,2,4652,48
Married,82224.0,0,0,83,1,3,0,0,902,20,1,3,4475,62
Together,83844.0,0,0,57,1,1,0,0,1574,19,1,3,4733,74
Married,17003.0,1,0,37,3,5,0,0,38,6,0,2,4522,51
Single,71163.0,0,0,30,1,1,0,0,960,23,0,3,4432,31
Single,33697.0,1,0,34,1,7,0,0,28,3,1,3,4607,56
Married,63564.0,0,0,0,1,6,0,1,1215,27,1,2,4471,72
Together,83443.0,0,0,89,1,2,0,0,1497,21,0,4,4500,54
Together,51518.0,0,1,92,2,3,0,0,449,15,0,4,4589,68
Widow,58330.0,0,1,87,1,4,0,0,1064,23,0,3,4506,51
Married,80952.0,0,0,20,1,8,0,1,1757,24,3,3,4806,57
Together,75507.0,0,0,56,1,3,0,0,1440,20,0,3,4378,47
Together,63855.0,0,0,28,1,4,0,0,1006,23,0,2,4825,48
Together,62220.0,0,1,55,5,6,0,1,1226,18,0,4,5007,54
Married,58512.0,0,1,25,5,8,0,0,1171,15,0,3,4603,62
Married,40662.0,1,0,0,2,4,0,0,92,6,0,4,4791,47
Married,38829.0,0,1,86,1,5,0,0,99,7,0,4,4404,67
Married,35523.0,1,0,8,2,7,0,0,66,6,0,2,4589,45
Single,79146.0,1,1,33,2,6,0,0,564,17,0,3,4386,59
Married,78285.0,0,0,13,1,3,0,0,1427,20,0,4,4564,38
Single,31626.0,1,0,12,1,7,0,1,86,5,1,4,4735,48
Single,75127.0,0,0,92,1,1,0,0,833,18,0,3,4358,74
Married,48726.0,0,1,90,3,6,0,0,242,9,0,3,4748,71
Married,74985.0,0,0,8,1,2,0,0,1869,16,0,3,4976,49
Together,67430.0,0,0,6,1,6,0,0,1364,28,0,3,4982,39
Married,46891.0,0,1,91,1,4,0,0,183,7,0,2,4621,61
Married,62058.0,0,1,52,4,6,0,0,450,14,0,4,4719,70
Married,72063.0,0,1,3,2,2,0,0,758,19,0,3,4681,47
Married,78939.0,0,0,57,1,3,0,0,1507,19,0,4,4519,75
Single,42720.0,1,1,9,8,8,0,1,654,17,0,3,4751,61
Married,33622.0,1,1,22,3,7,0,0,81,6,0,3,4762,54
Together,6835.0,0,1,76,0,20,0,0,137,1,0,4,4888,69
Together,41452.0,1,1,86,1,7,0,0,16,3,0,3,4800,73
Single,40760.0,0,1,64,2,6,0,0,93,6,0,4,4623,61
Together,74250.0,0,0,90,1,1,0,0,1158,17,0,4,4474,68
Single,51124.0,1,1,79,2,3,0,0,43,4,0,4,4513,71
Single,72258.0,0,1,28,2,2,0,0,1525,20,0,3,4610,55
Single,71466.0,0,0,86,1,1,0,0,1230,18,0,4,4405,52
Together,36283.0,1,1,42,2,4,0,0,29,4,0,3,4396,50
